Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Pash S,1,none,Backhand,Topspin,26.873175,5,2,1,short,ad,far,0.075504,17.323122,deep,ad,far,0.552159,23.559277,0.974326,cross court,Net,false,18:44:42,205.389999
Pash S,1,first_serve,Serve,Slice,67.685745,5,2,1,deep,deuce,near,2.165982,5.4517,deep,deuce,far,-2.457005,23.894173,2.557396,down the T,Out,false,18:45:07,231
Opponent,3,none,Forehand,Slice,26.421427,5,2,1,short,deuce,near,3.097468,8.274133,deep,deuce,near,3.805188,-0.432083,1.23412,cross court,Net,false,18:45:08,232
Pash S,1,first_serve,Serve,Slice,53.404926,5,2,1,short,deuce,near,2.195663,6.484884,short,deuce,far,-0.481371,23.616947,2.446289,down the T,In,false,18:45:21,244.479996
Opponent,2,first_return,Forehand,Topspin,36.902775,5,2,1,short,deuce,far,-0.276632,16.460068,deep,deuce,near,2.195033,0.259552,1.320348,cross court,In,false,18:45:22,245.880005
Pash S,3,serve_plus_one,Forehand,Topspin,58.238781,5,2,1,short,deuce,far,-1.60062,16.945641,deep,deuce,far,-1.360991,23.925928,1.036788,cross court,Net,false,18:45:24,247.660004
Pash S,1,first_serve,Serve,Flat,69.276459,6,2,1,short,ad,near,-2.456798,6.351611,deep,ad,far,1.105086,23.427286,2.605332,out wide,In,false,18:45:45,269.029999
Opponent,2,first_return,Backhand,Topspin,33.941586,6,2,1,short,ad,far,0.092103,14.137691,out,ad,near,-4.006211,-1.233351,1.144456,cross court,In,false,18:45:46,270.049988
Pash S,3,serve_plus_one,Forehand,Flat,24.484228,6,2,1,short,ad,far,3.541546,17.019295,deep,ad,far,1.299412,21.456251,0.521439,inside out,Net,false,18:45:48,271.950012
Pash S,1,first_serve,Serve,Slice,68.832237,7,2,1,deep,deuce,near,3.638131,4.1494,deep,deuce,far,-1.84398,23.81098,2.662175,out wide,Out,false,18:46:09,292.690002
Opponent,1,none,Forehand,Topspin,44.915051,7,2,1,deep,ad,far,0.624916,20.015854,deep,deuce_alley,near,4.227522,-0.118869,0.664241,down the line,In,false,18:46:10,293.670013
Pash S,1,first_serve,Serve,Slice,42.88007,7,2,1,short,deuce,near,0.904574,8.619977,deep,deuce,far,-1.389669,23.61986,2.58098,down the T,In,false,18:46:18,301.429993
Opponent,2,first_return,Backhand,Topspin,35.927361,7,2,1,short,deuce,far,-0.377668,17.75396,deep,deuce,near,1.771322,0.435197,0.735114,inside out,In,false,18:46:19,303.100006
Pash S,3,serve_plus_one,Forehand,Topspin,55.003494,7,2,1,short,ad,near,-0.319518,5.606229,deep,deuce,far,-1.081386,24.599104,0.930704,down the line,In,false,18:46:21,304.890015
Opponent,4,return_plus_one,Backhand,Flat,41.870525,7,2,1,deep,ad,far,2.223768,20.937693,deep,ad,near,-1.290311,-0.487212,0.389616,cross court,In,false,18:46:22,306.23999
Pash S,5,in_play,Backhand,Topspin,40.135372,7,2,1,deep,ad,near,-1.45608,5.38003,deep,ad,far,2.137303,23.969933,1.184451,cross court,In,false,18:46:24,308.070007
Opponent,6,in_play,Backhand,Topspin,47.560196,7,2,1,short,deuce,near,0.7186,11.186637,deep,ad,near,-1.372435,1.641303,1.023275,down the line,Net,false,18:46:26,309.869995
Opponent,0,none,Feed,Topspin,18.186579,8,2,1,short,ad,far,1.482398,17.694141,deep,deuce,near,1.096981,0.421262,0.697205,---,In,false,18:46:32,316.049988
Pash S,1,first_serve,Serve,Flat,57.383556,8,2,1,short,deuce,far,-1.845025,12.379175,deep,ad,far,1.313918,24.103247,2.625538,out wide,Net,false,18:46:44,328.01001
Pash S,1,first_serve,Serve,Slice,57.703297,8,2,1,short,ad,near,-2.325087,6.089846,deep,ad,far,0.968517,22.810301,2.587886,out wide,In,false,18:46:50,333.899994
Opponent,2,first_return,Backhand,Topspin,30.30929,8,2,1,short,ad,near,-0.060834,11.21918,out,ad_alley,near,-4.1208,-1.691142,0.750857,down the line,Net,false,18:46:51,335.220001
Opponent,1,first_serve,Serve,Slice,83.514648,9,2,1,deep,deuce,near,2.171055,4.833421,deep,deuce,far,-1.261873,24.280943,2.696813,down the T,Out,false,18:47:33,376.809998
