Player,Shot,Type,Stroke,Spin,Speed (MPH),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time
Pash Sunuwar,9,in_play,Forehand,Topspin,32.831993,170,0,0,service_box,deuce,far,-1.237615,17.903118,out,deuce,near,1.232685,-1.713692,1.187434,cross court,In,false,20:12:30,
Opponent,10,in_play,Forehand,Topspin,43.117706,170,0,0,no_mans_land,deuce,near,1.689966,1.228458,no_mans_land,deuce,far,-2.00561,23.401167,0.524434,cross court,In,false,20:12:33,
Pash Sunuwar,11,in_play,Forehand,Flat,30.167225,170,0,0,service_box,deuce,far,-0.41152,17.182703,out,deuce,near,1.61165,-1.212139,1.730852,cross court,In,false,20:12:35,
Pash Sunuwar,1,first_serve,Serve,Slice,55.503784,171,0,0,service_box,deuce,near,2.305074,10.611679,out,ad,near,-2.411057,-0.593422,2.396297,out wide,Net,false,20:13:01,
Pash Sunuwar,1,second_serve,Serve,Slice,41.28989,172,0,0,service_box,deuce,near,2.475576,7.193664,no_mans_land,ad,near,-1.691306,0.320964,2.371203,out wide,Net,false,20:13:08,
Pash Sunuwar,1,first_serve,Serve,Slice,46.849781,173,0,0,service_box,deuce,far,-1.642263,16.685181,no_mans_land,deuce,near,0.959801,-0.025129,2.537225,down the T,In,false,20:13:34,
Opponent,2,return,Forehand,Topspin,36.750122,173,0,0,no_mans_land,deuce,near,1.731012,4.159427,no_mans_land,deuce,far,-2.427994,23.986917,1.11462,cross court,In,false,20:13:36,
Pash Sunuwar,3,serve_plus_one,Forehand,Flat,39.006981,173,0,0,service_box,deuce,far,-0.307436,18.065271,no_mans_land,deuce,near,2.756651,0.408806,1.28517,cross court,In,false,20:13:38,
Opponent,4,return_plus_one,Forehand,Topspin,41.62682,173,0,0,no_mans_land,deuce,near,0.311949,2.436855,out,deuce,far,-1.405876,25.702932,1.107263,cross court,In,false,20:13:39,
Pash Sunuwar,5,in_play,Forehand,Topspin,41.077541,173,0,0,service_box,ad,far,3.613172,15.382922,out,deuce,near,0.556368,-1.851519,1.974167,down the line,In,false,20:13:41,
Opponent,6,in_play,Backhand,Slice,37.785164,173,0,0,out,ad,near,-1.092113,-0.981973,no_mans_land,ad_alley,far,4.280151,22.745245,0.744345,down the line,Out,false,20:13:43,
Pash Sunuwar,1,first_serve,Serve,Slice,57.134911,174,0,0,service_box,ad,far,2.272322,15.487096,no_mans_land,ad,near,-1.792586,0.230558,2.331495,out wide,In,false,20:13:58,
Opponent,2,return,Backhand,Topspin,29.563885,174,0,0,service_box,ad,far,2.737208,16.685181,no_mans_land,ad_alley,far,4.468379,24.474215,0.798755,down the line,Net,false,20:13:59,
